Date,Open,High,Low,Close,Volume,Name,Industry
2006-01-03,34.29,34.29,33.2,33.52,9250100,MCD,Consumer Discretionary
2006-01-03,10.85,10.92,10.67,10.74,18468800,NKE,Consumer Discretionary
2006-01-03,40.39,41.45,39.77,41.24,8960100,HD,Consumer Discretionary
2006-01-03,40.39,41.45,39.77,41.24,8960100,HD,Consumer Discretionary
2006-01-03,10.85,10.92,10.67,10.74,18468800,NKE,Consumer Discretionary
2006-01-03,47.47,47.85,46.25,47.58,7582127,AMZN,Consumer Discretionary
2006-01-03,34.29,34.29,33.2,33.52,9250100,MCD,Consumer Discretionary
2006-01-03,47.47,47.85,46.25,47.58,7582127,AMZN,Consumer Discretionary
2006-01-04,33.43,33.85,33.42,33.82,5990300,MCD,Consumer Discretionary
2006-01-04,10.71,10.8,10.67,10.69,15832000,NKE,Consumer Discretionary
2006-01-04,40.94,41.04,40.23,40.48,9452300,HD,Consumer Discretionary
2006-01-04,40.94,41.04,40.23,40.48,9452300,HD,Consumer Discretionary
2006-01-04,47.48,47.73,46.69,47.25,7440914,AMZN,Consumer Discretionary
2006-01-04,33.43,33.85,33.42,33.82,5990300,MCD,Consumer Discretionary
2006-01-04,47.48,47.73,46.69,47.25,7440914,AMZN,Consumer Discretionary
2006-01-04,10.71,10.8,10.67,10.69,15832000,NKE,Consumer Discretionary
2006-01-05,33.82,34.2,33.73,33.86,6245200,MCD,Consumer Discretionary
2006-01-05,47.16,48.2,47.11,47.65,5417258,AMZN,Consumer Discretionary
2006-01-05,10.69,10.83,10.69,10.76,9256000,NKE,Consumer Discretionary
2006-01-05,40.1,40.36,39.81,40.08,9492700,HD,Consumer Discretionary
2006-01-05,47.16,48.2,47.11,47.65,5417258,AMZN,Consumer Discretionary
2006-01-05,10.69,10.83,10.69,10.76,9256000,NKE,Consumer Discretionary
2006-01-05,40.1,40.36,39.81,40.08,9492700,HD,Consumer Discretionary
2006-01-05,33.82,34.2,33.73,33.86,6245200,MCD,Consumer Discretionary
2006-01-06,34.23,34.3,33.81,34.06,5877100,MCD,Consumer Discretionary
2006-01-06,47.97,48.58,47.32,47.87,6154285,AMZN,Consumer Discretionary
2006-01-06,47.97,48.58,47.32,47.87,6154285,AMZN,Consumer Discretionary
2006-01-06,10.79,10.83,10.71,10.72,7573600,NKE,Consumer Discretionary
2006-01-06,10.79,10.83,10.71,10.72,7573600,NKE,Consumer Discretionary
2006-01-06,40.25,40.51,40.09,40.38,9170200,HD,Consumer Discretionary
2006-01-06,34.23,34.3,33.81,34.06,5877100,MCD,Consumer Discretionary
2006-01-06,40.25,40.51,40.09,40.38,9170200,HD,Consumer Discretionary
2006-01-09,34.0,34.74,33.99,34.71,4659900,MCD,Consumer Discretionary
2006-01-09,10.72,10.98,10.72,10.88,10441600,NKE,Consumer Discretionary
2006-01-09,40.8,41.1,40.25,40.82,8256300,HD,Consumer Discretionary
2006-01-09,46.55,47.1,46.4,47.08,8945056,AMZN,Consumer Discretionary
2006-01-09,46.55,47.1,46.4,47.08,8945056,AMZN,Consumer Discretionary
2006-01-09,10.72,10.98,10.72,10.88,10441600,NKE,Consumer Discretionary
2006-01-09,40.8,41.1,40.25,40.82,8256300,HD,Consumer Discretionary
2006-01-09,34.0,34.74,33.99,34.71,4659900,MCD,Consumer Discretionary
2006-01-10,46.41,46.75,45.36,45.65,9686957,AMZN,Consumer Discretionary
2006-01-10,46.41,46.75,45.36,45.65,9686957,AMZN,Consumer Discretionary
2006-01-10,34.61,34.85,34.54,34.74,7021800,MCD,Consumer Discretionary
2006-01-10,10.81,10.98,10.8,10.9,11837600,NKE,Consumer Discretionary
2006-01-10,41.04,42.49,41.02,41.8,15088100,HD,Consumer Discretionary
2006-01-10,34.61,34.85,34.54,34.74,7021800,MCD,Consumer Discretionary
2006-01-10,10.81,10.98,10.8,10.9,11837600,NKE,Consumer Discretionary
2006-01-10,41.04,42.49,41.02,41.8,15088100,HD,Consumer Discretionary
2006-01-11,45.65,45.7,44.26,44.93,8497383,AMZN,Consumer Discretionary
2006-01-11,34.82,35.36,34.8,35.34,8209000,MCD,Consumer Discretionary
2006-01-11,42.0,43.2,41.91,42.95,12113900,HD,Consumer Discretionary
2006-01-11,42.0,43.2,41.91,42.95,12113900,HD,Consumer Discretionary
2006-01-11,34.82,35.36,34.8,35.34,8209000,MCD,Consumer Discretionary
2006-01-11,10.91,11.01,10.88,10.91,10372800,NKE,Consumer Discretionary
2006-01-11,45.65,45.7,44.26,44.93,8497383,AMZN,Consumer Discretionary
2006-01-11,10.91,11.01,10.88,10.91,10372800,NKE,Consumer Discretionary
2006-01-12,42.7,42.95,42.49,42.55,8515200,HD,Consumer Discretionary
2006-01-12,44.79,45.09,44.09,44.36,5818301,AMZN,Consumer Discretionary
2006-01-12,11.02,11.02,10.75,10.79,11159200,NKE,Consumer Discretionary
2006-01-12,35.25,35.32,34.74,34.79,11593600,MCD,Consumer Discretionary
2006-01-12,42.7,42.95,42.49,42.55,8515200,HD,Consumer Discretionary
2006-01-12,35.25,35.32,34.74,34.79,11593600,MCD,Consumer Discretionary
2006-01-12,11.02,11.02,10.75,10.79,11159200,NKE,Consumer Discretionary
2006-01-12,44.79,45.09,44.09,44.36,5818301,AMZN,Consumer Discretionary
2006-01-13,10.84,10.89,10.68,10.78,9612000,NKE,Consumer Discretionary
2006-01-13,34.65,34.74,34.35,34.47,4807700,MCD,Consumer Discretionary
2006-01-13,34.65,34.74,34.35,34.47,4807700,MCD,Consumer Discretionary
2006-01-13,44.48,44.85,44.0,44.4,4432237,AMZN,Consumer Discretionary
2006-01-13,10.84,10.89,10.68,10.78,9612000,NKE,Consumer Discretionary
2006-01-13,44.48,44.85,44.0,44.4,4432237,AMZN,Consumer Discretionary
2006-01-13,41.91,42.59,41.48,41.91,8372600,HD,Consumer Discretionary
2006-01-13,41.91,42.59,41.48,41.91,8372600,HD,Consumer Discretionary
2006-01-17,41.5,41.88,41.36,41.57,6372700,HD,Consumer Discretionary
2006-01-17,43.95,44.32,43.66,44.0,5635225,AMZN,Consumer Discretionary
2006-01-17,43.95,44.32,43.66,44.0,5635225,AMZN,Consumer Discretionary
2006-01-17,10.8,10.8,10.6,10.6,11075200,NKE,Consumer Discretionary
2006-01-17,41.5,41.88,41.36,41.57,6372700,HD,Consumer Discretionary
2006-01-17,34.72,35.16,34.52,34.59,5499200,MCD,Consumer Discretionary
2006-01-17,10.8,10.8,10.6,10.6,11075200,NKE,Consumer Discretionary
2006-01-17,34.72,35.16,34.52,34.59,5499200,MCD,Consumer Discretionary
2006-01-18,10.63,10.68,10.54,10.66,9202400,NKE,Consumer Discretionary
2006-01-18,41.57,42.11,41.38,41.69,7079500,HD,Consumer Discretionary
2006-01-18,43.19,44.59,43.1,44.32,8744464,AMZN,Consumer Discretionary
2006-01-18,34.58,35.44,34.41,34.66,10552500,MCD,Consumer Discretionary
2006-01-18,10.63,10.68,10.54,10.66,9202400,NKE,Consumer Discretionary
2006-01-18,43.19,44.59,43.1,44.32,8744464,AMZN,Consumer Discretionary
2006-01-18,41.57,42.11,41.38,41.69,7079500,HD,Consumer Discretionary
2006-01-18,34.58,35.44,34.41,34.66,10552500,MCD,Consumer Discretionary
2006-01-19,10.53,10.62,10.5,10.59,8888800,NKE,Consumer Discretionary
2006-01-19,10.53,10.62,10.5,10.59,8888800,NKE,Consumer Discretionary
2006-01-19,41.3,41.99,41.13,41.28,12264400,HD,Consumer Discretionary
2006-01-19,35.3,35.37,35.0,35.2,9093800,MCD,Consumer Discretionary
2006-01-19,44.5,45.24,44.3,44.45,5156990,AMZN,Consumer Discretionary
2006-01-19,35.3,35.37,35.0,35.2,9093800,MCD,Consumer Discretionary
2006-01-19,41.3,41.99,41.13,41.28,12264400,HD,Consumer Discretionary
2006-01-19,44.5,45.24,44.3,44.45,5156990,AMZN,Consumer Discretionary
2006-01-20,44.23,44.36,43.2,43.92,8344332,AMZN,Consumer Discretionary
2006-01-20,10.64,10.7,10.48,10.52,16132000,NKE,Consumer Discretionary
2006-01-20,41.16,41.27,40.12,40.17,15041700,HD,Consumer Discretionary
2006-01-20,41.16,41.27,40.12,40.17,15041700,HD,Consumer Discretionary
2006-01-20,35.2,35.91,35.09,35.86,11437300,MCD,Consumer Discretionary
2006-01-20,10.64,10.7,10.48,10.52,16132000,NKE,Consumer Discretionary
2006-01-20,44.23,44.36,43.2,43.92,8344332,AMZN,Consumer Discretionary
2006-01-20,35.2,35.91,35.09,35.86,11437300,MCD,Consumer Discretionary
2006-01-23,35.86,36.09,35.27,35.71,6994800,MCD,Consumer Discretionary
2006-01-23,10.45,10.5,10.18,10.43,38273600,NKE,Consumer Discretionary
2006-01-23,40.4,40.58,39.65,39.69,9305100,HD,Consumer Discretionary
2006-01-23,44.18,44.75,43.5,43.73,5752811,AMZN,Consumer Discretionary
2006-01-23,10.45,10.5,10.18,10.43,38273600,NKE,Consumer Discretionary
2006-01-23,35.86,36.09,35.27,35.71,6994800,MCD,Consumer Discretionary
2006-01-23,40.4,40.58,39.65,39.69,9305100,HD,Consumer Discretionary
2006-01-23,44.18,44.75,43.5,43.73,5752811,AMZN,Consumer Discretionary
2006-01-24,39.99,40.45,39.72,40.45,10890900,HD,Consumer Discretionary
2006-01-24,35.94,36.31,35.67,35.85,9685600,MCD,Consumer Discretionary
2006-01-24,35.94,36.31,35.67,35.85,9685600,MCD,Consumer Discretionary
2006-01-24,39.99,40.45,39.72,40.45,10890900,HD,Consumer Discretionary
2006-01-24,43.66,44.43,43.42,44.02,4342401,AMZN,Consumer Discretionary
2006-01-24,43.66,44.43,43.42,44.02,4342401,AMZN,Consumer Discretionary
2006-01-24,10.54,10.56,10.39,10.5,16800000,NKE,Consumer Discretionary
2006-01-24,10.54,10.56,10.39,10.5,16800000,NKE,Consumer Discretionary
2006-01-25,36.0,36.14,34.55,35.16,21016500,MCD,Consumer Discretionary
2006-01-25,36.0,36.14,34.55,35.16,21016500,MCD,Consumer Discretionary
2006-01-25,40.42,40.66,39.79,39.98,8096700,HD,Consumer Discretionary
2006-01-25,40.42,40.66,39.79,39.98,8096700,HD,Consumer Discretionary
2006-01-25,10.51,10.57,10.49,10.53,10268800,NKE,Consumer Discretionary
2006-01-25,10.51,10.57,10.49,10.53,10268800,NKE,Consumer Discretionary
2006-01-25,44.05,44.47,43.34,43.6,4287595,AMZN,Consumer Discretionary
2006-01-25,44.05,44.47,43.34,43.6,4287595,AMZN,Consumer Discretionary
2006-01-26,10.64,10.64,10.47,10.5,15965600,NKE,Consumer Discretionary
2006-01-26,40.1,40.56,40.04,40.4,7279800,HD,Consumer Discretionary
2006-01-26,40.1,40.56,40.04,40.4,7279800,HD,Consumer Discretionary
2006-01-26,35.5,35.7,34.75,34.94,12358300,MCD,Consumer Discretionary
2006-01-26,10.64,10.64,10.47,10.5,15965600,NKE,Consumer Discretionary
2006-01-26,35.5,35.7,34.75,34.94,12358300,MCD,Consumer Discretionary
2006-01-26,43.95,44.78,43.79,44.68,4890969,AMZN,Consumer Discretionary
2006-01-26,43.95,44.78,43.79,44.68,4890969,AMZN,Consumer Discretionary
2006-01-27,44.55,45.22,44.53,45.22,4174089,AMZN,Consumer Discretionary
2006-01-27,10.53,10.58,10.38,10.39,17025600,NKE,Consumer Discretionary
2006-01-27,40.22,40.72,39.77,40.0,8192700,HD,Consumer Discretionary
2006-01-27,44.55,45.22,44.53,45.22,4174089,AMZN,Consumer Discretionary
2006-01-27,40.22,40.72,39.77,40.0,8192700,HD,Consumer Discretionary
2006-01-27,34.94,35.24,34.92,35.05,7355400,MCD,Consumer Discretionary
2006-01-27,10.53,10.58,10.38,10.39,17025600,NKE,Consumer Discretionary
2006-01-27,34.94,35.24,34.92,35.05,7355400,MCD,Consumer Discretionary
2006-01-30,39.72,40.29,39.72,40.0,5657800,HD,Consumer Discretionary
2006-01-30,10.33,10.35,10.08,10.22,78979200,NKE,Consumer Discretionary
2006-01-30,39.72,40.29,39.72,40.0,5657800,HD,Consumer Discretionary
2006-01-30,45.41,45.97,44.74,44.96,4099826,AMZN,Consumer Discretionary
2006-01-30,45.41,45.97,44.74,44.96,4099826,AMZN,Consumer Discretionary
2006-01-30,34.9,35.07,34.83,35.02,8004200,MCD,Consumer Discretionary
2006-01-30,10.33,10.35,10.08,10.22,78979200,NKE,Consumer Discretionary
2006-01-30,34.9,35.07,34.83,35.02,8004200,MCD,Consumer Discretionary
2006-01-31,44.76,45.21,44.25,44.82,4056024,AMZN,Consumer Discretionary
2006-01-31,35.04,35.25,34.9,35.01,6988200,MCD,Consumer Discretionary
2006-01-31,40.0,40.86,39.82,40.55,10812200,HD,Consumer Discretionary
2006-01-31,44.76,45.21,44.25,44.82,4056024,AMZN,Consumer Discretionary
2006-01-31,10.22,10.26,10.11,10.12,20348000,NKE,Consumer Discretionary
2006-01-31,10.22,10.26,10.11,10.12,20348000,NKE,Consumer Discretionary
2006-01-31,35.04,35.25,34.9,35.01,6988200,MCD,Consumer Discretionary
2006-01-31,40.0,40.86,39.82,40.55,10812200,HD,Consumer Discretionary
2006-02-01,40.45,40.58,39.91,40.23,6937400,HD,Consumer Discretionary
2006-02-01,40.45,40.58,39.91,40.23,6937400,HD,Consumer Discretionary
2006-02-01,43.92,44.69,43.5,43.98,7501585,AMZN,Consumer Discretionary
2006-02-01,35.01,35.71,34.99,35.67,7184900,MCD,Consumer Discretionary
2006-02-01,35.01,35.71,34.99,35.67,7184900,MCD,Consumer Discretionary
2006-02-01,10.16,10.52,10.15,10.39,35525600,NKE,Consumer Discretionary
2006-02-01,43.92,44.69,43.5,43.98,7501585,AMZN,Consumer Discretionary
2006-02-01,10.16,10.52,10.15,10.39,35525600,NKE,Consumer Discretionary
2006-02-02,43.84,44.04,39.8,42.74,23739052,AMZN,Consumer Discretionary
2006-02-02,10.4,10.49,10.38,10.42,20464800,NKE,Consumer Discretionary
2006-02-02,35.33,35.81,35.17,35.45,5409500,MCD,Consumer Discretionary
2006-02-02,39.96,40.24,39.81,39.96,7343300,HD,Consumer Discretionary
2006-02-02,10.4,10.49,10.38,10.42,20464800,NKE,Consumer Discretionary
2006-02-02,39.96,40.24,39.81,39.96,7343300,HD,Consumer Discretionary
2006-02-02,43.84,44.04,39.8,42.74,23739052,AMZN,Consumer Discretionary
2006-02-02,35.33,35.81,35.17,35.45,5409500,MCD,Consumer Discretionary
