Date,Open,High,Low,Close,Volume,Name,Industry
2006-01-03,82.45,82.55,80.81,82.06,11715200,IBM,Technology
2006-01-03,17.21,17.49,17.18,17.45,55432166,CSCO,Technology
2006-01-03,10.34,10.68,10.32,10.68,201853036,AAPL,Technology
2006-01-03,17.21,17.49,17.18,17.45,55432166,CSCO,Technology
2006-01-03,25.19,25.64,24.9,25.57,56409085,INTC,Technology
2006-01-03,10.34,10.68,10.32,10.68,201853036,AAPL,Technology
2006-01-03,25.19,25.64,24.9,25.57,56409085,INTC,Technology
2006-01-03,26.25,27.0,26.1,26.84,79974418,MSFT,Technology
2006-01-03,82.45,82.55,80.81,82.06,11715200,IBM,Technology
2006-01-03,26.25,27.0,26.1,26.84,79974418,MSFT,Technology
2006-01-04,17.48,17.93,17.46,17.85,80409776,CSCO,Technology
2006-01-04,26.77,27.08,26.77,26.97,57975661,MSFT,Technology
2006-01-04,10.73,10.85,10.64,10.71,155225609,AAPL,Technology
2006-01-04,25.6,25.94,25.59,25.91,46189650,INTC,Technology
2006-01-04,17.48,17.93,17.46,17.85,80409776,CSCO,Technology
2006-01-04,10.73,10.85,10.64,10.71,155225609,AAPL,Technology
2006-01-04,82.2,82.5,81.33,81.95,9840600,IBM,Technology
2006-01-04,25.6,25.94,25.59,25.91,46189650,INTC,Technology
2006-01-04,26.77,27.08,26.77,26.97,57975661,MSFT,Technology
2006-01-04,82.2,82.5,81.33,81.95,9840600,IBM,Technology
2006-01-05,10.69,10.7,10.54,10.63,112396081,AAPL,Technology
2006-01-05,17.94,18.48,17.93,18.35,118588943,CSCO,Technology
2006-01-05,25.93,26.47,25.91,26.27,54893195,INTC,Technology
2006-01-05,81.4,82.9,81.0,82.5,7213500,IBM,Technology
2006-01-05,10.69,10.7,10.54,10.63,112396081,AAPL,Technology
2006-01-05,81.4,82.9,81.0,82.5,7213500,IBM,Technology
2006-01-05,26.96,27.13,26.91,26.99,48247610,MSFT,Technology
2006-01-05,26.96,27.13,26.91,26.99,48247610,MSFT,Technology
2006-01-05,25.93,26.47,25.91,26.27,54893195,INTC,Technology
2006-01-05,17.94,18.48,17.93,18.35,118588943,CSCO,Technology
2006-01-06,26.48,26.63,26.21,26.31,45703307,INTC,Technology
2006-01-06,26.89,27.0,26.49,26.91,100969092,MSFT,Technology
2006-01-06,10.75,10.96,10.65,10.9,176139334,AAPL,Technology
2006-01-06,83.95,85.03,83.41,84.95,8197400,IBM,Technology
2006-01-06,18.51,18.88,18.47,18.77,122450979,CSCO,Technology
2006-01-06,18.51,18.88,18.47,18.77,122450979,CSCO,Technology
2006-01-06,26.89,27.0,26.49,26.91,100969092,MSFT,Technology
2006-01-06,83.95,85.03,83.41,84.95,8197400,IBM,Technology
2006-01-06,26.48,26.63,26.21,26.31,45703307,INTC,Technology
2006-01-06,10.75,10.96,10.65,10.9,176139334,AAPL,Technology
2006-01-09,84.1,84.25,83.38,83.73,6858200,IBM,Technology
2006-01-09,26.39,26.51,26.09,26.47,39461729,INTC,Technology
2006-01-09,10.96,11.03,10.82,10.86,168861224,AAPL,Technology
2006-01-09,18.97,19.11,18.92,19.06,78604868,CSCO,Technology
2006-01-09,26.39,26.51,26.09,26.47,39461729,INTC,Technology
2006-01-09,84.1,84.25,83.38,83.73,6858200,IBM,Technology
2006-01-09,10.96,11.03,10.82,10.86,168861224,AAPL,Technology
2006-01-09,18.97,19.11,18.92,19.06,78604868,CSCO,Technology
2006-01-09,26.93,27.07,26.76,26.86,55627836,MSFT,Technology
2006-01-09,26.93,27.07,26.76,26.86,55627836,MSFT,Technology
2006-01-10,18.87,19.15,18.78,18.97,73839465,CSCO,Technology
2006-01-10,83.15,84.12,83.12,84.07,5701000,IBM,Technology
2006-01-10,26.65,27.02,26.59,27.0,64924946,MSFT,Technology
2006-01-10,10.89,11.7,10.83,11.55,570088246,AAPL,Technology
2006-01-10,83.15,84.12,83.12,84.07,5701000,IBM,Technology
2006-01-10,10.89,11.7,10.83,11.55,570088246,AAPL,Technology
2006-01-10,26.29,26.41,25.92,26.12,47034594,INTC,Technology
2006-01-10,26.29,26.41,25.92,26.12,47034594,INTC,Technology
2006-01-10,26.65,27.02,26.59,27.0,64924946,MSFT,Technology
2006-01-10,18.87,19.15,18.78,18.97,73839465,CSCO,Technology
2006-01-11,11.98,12.11,11.8,11.99,373548882,AAPL,Technology
2006-01-11,18.98,19.43,18.94,19.4,73964864,CSCO,Technology
2006-01-11,26.13,26.33,25.9,26.14,53005009,INTC,Technology
2006-01-11,26.13,26.33,25.9,26.14,53005009,INTC,Technology
2006-01-11,11.98,12.11,11.8,11.99,373548882,AAPL,Technology
2006-01-11,84.37,84.81,83.4,84.17,5776500,IBM,Technology
2006-01-11,27.01,27.39,26.9,27.29,70123544,MSFT,Technology
2006-01-11,27.01,27.39,26.9,27.29,70123544,MSFT,Technology
2006-01-11,18.98,19.43,18.94,19.4,73964864,CSCO,Technology
2006-01-11,84.37,84.81,83.4,84.17,5776500,IBM,Technology
2006-01-12,12.14,12.34,11.95,12.04,320201966,AAPL,Technology
2006-01-12,83.82,83.96,83.4,83.57,4926500,IBM,Technology
2006-01-12,19.27,19.35,19.08,19.2,59581203,CSCO,Technology
2006-01-12,27.25,27.26,26.97,27.14,45994725,MSFT,Technology
2006-01-12,83.82,83.96,83.4,83.57,4926500,IBM,Technology
2006-01-12,19.27,19.35,19.08,19.2,59581203,CSCO,Technology
2006-01-12,12.14,12.34,11.95,12.04,320201966,AAPL,Technology
2006-01-12,26.05,26.52,25.87,25.97,54026675,INTC,Technology
2006-01-12,26.05,26.52,25.87,25.97,54026675,INTC,Technology
2006-01-12,27.25,27.26,26.97,27.14,45994725,MSFT,Technology
2006-01-13,27.03,27.25,27.01,27.19,41449046,MSFT,Technology
2006-01-13,12.14,12.29,12.09,12.23,194153393,AAPL,Technology
2006-01-13,83.0,83.45,82.5,83.17,6921700,IBM,Technology
2006-01-13,25.96,26.18,25.54,25.79,46311963,INTC,Technology
2006-01-13,19.13,19.33,18.89,18.92,52389265,CSCO,Technology
2006-01-13,27.03,27.25,27.01,27.19,41449046,MSFT,Technology
2006-01-13,83.0,83.45,82.5,83.17,6921700,IBM,Technology
2006-01-13,25.96,26.18,25.54,25.79,46311963,INTC,Technology
2006-01-13,12.14,12.29,12.09,12.23,194153393,AAPL,Technology
2006-01-13,19.13,19.33,18.89,18.92,52389265,CSCO,Technology
2006-01-17,12.24,12.34,11.98,12.1,209215265,AAPL,Technology
2006-01-17,12.24,12.34,11.98,12.1,209215265,AAPL,Technology
2006-01-17,25.59,25.75,25.32,25.52,89043324,INTC,Technology
2006-01-17,26.9,27.19,26.9,26.99,58574807,MSFT,Technology
2006-01-17,25.59,25.75,25.32,25.52,89043324,INTC,Technology
2006-01-17,82.8,83.16,82.54,83.0,8761700,IBM,Technology
2006-01-17,18.7,18.78,18.47,18.68,53133127,CSCO,Technology
2006-01-17,82.8,83.16,82.54,83.0,8761700,IBM,Technology
2006-01-17,26.9,27.19,26.9,26.99,58574807,MSFT,Technology
2006-01-17,18.7,18.78,18.47,18.68,53133127,CSCO,Technology
2006-01-18,22.87,23.06,22.36,22.6,282104769,INTC,Technology
2006-01-18,84.0,84.7,83.52,84.46,11032800,IBM,Technology
2006-01-18,18.4,18.85,18.37,18.73,69496410,CSCO,Technology
2006-01-18,84.0,84.7,83.52,84.46,11032800,IBM,Technology
2006-01-18,18.4,18.85,18.37,18.73,69496410,CSCO,Technology
2006-01-18,26.74,26.98,26.7,26.83,52495587,MSFT,Technology
2006-01-18,11.87,12.01,11.69,11.78,303279501,AAPL,Technology
2006-01-18,11.87,12.01,11.69,11.78,303279501,AAPL,Technology
2006-01-18,22.87,23.06,22.36,22.6,282104769,INTC,Technology
2006-01-18,26.74,26.98,26.7,26.83,52495587,MSFT,Technology
2006-01-19,22.8,22.87,22.39,22.4,196361139,INTC,Technology
2006-01-19,11.61,11.67,11.25,11.29,424100026,AAPL,Technology
